city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
abong mbang,cm,2017-08-23 09:50:53,13.18,3.98,71.72,91.0,32.0,2.15
acarau,br,2017-08-23 09:50:53,-40.12,-2.89,92.87,42.0,0.0,13.44
adrar,dz,2017-08-23 09:00:00,-0.29,27.87,113.0,9.0,0.0,6.93
agua blanca,gt,2017-08-23 08:50:00,-89.65,14.5,84.2,66.0,20.0,1.7
ajdabiya,ly,2017-08-23 09:50:54,20.23,30.76,85.94,36.0,0.0,14.45
akhtubinsk,ru,2017-08-23 09:50:54,46.17,48.28,83.42,29.0,92.0,17.81
aksaray,tr,2017-08-23 09:20:00,34.03,38.37,80.6,32.0,40.0,8.05
aksarka,ru,2017-08-23 09:50:55,67.8,66.56,50.66,80.0,68.0,6.06
aktau,kz,2017-08-23 09:30:00,51.2,43.65,86.0,12.0,0.0,8.95
albany,au,2017-08-23 09:50:56,117.89,-35.02,40.67,88.0,0.0,2.82
alcacer do sal,pt,2017-08-23 09:00:00,-8.51,38.37,96.8,37.0,0.0,11.41
allapalli,in,2017-08-23 09:50:57,80.07,19.42,79.28,93.0,76.0,3.38
alto araguaia,br,2017-08-23 09:50:57,-53.22,-17.31,87.83,40.0,0.0,13.67
am timan,td,2017-08-23 09:50:57,20.28,11.03,81.17,72.0,12.0,2.93
ambanja,mg,2017-08-23 09:50:58,48.45,-13.68,65.96,92.0,12.0,1.7
ambilobe,mg,2017-08-23 09:50:58,49.05,-13.2,76.13,55.0,0.0,12.88
amderma,ru,2017-08-23 09:50:58,61.65,69.75,39.14,93.0,36.0,3.83
anastacio,br,2017-08-23 09:50:58,-55.81,-20.48,88.28,50.0,20.0,13.78
ancud,cl,2017-08-23 09:50:59,-73.82,-41.87,45.08,97.0,92.0,24.52
andapa,mg,2017-08-23 09:50:59,49.65,-14.65,63.62,88.0,8.0,2.93
andenes,no,2017-08-23 08:50:00,16.12,69.31,51.8,76.0,0.0,3.36
antalaha,mg,2017-08-23 09:51:00,50.28,-14.9,71.54,87.0,0.0,7.63
