Locationabbr,Locationdesc,ACS_Total_Below_PL,ACS_BPL_With_BA,ACS_Married,ACS_Single,ACS_HS_Diploma,ACS_Bachelors,ACS_Female_BA,ACS_Male_BA,ACS_Female_HS_Diploma,ACS_Male_HS_Diploma,No_H-Insurance,Yes_H-Insurance,Good_Health,Yes_Alcohol,Yes_Depression,No_Depression,Employed,Unemployed_>_Year,Yes_H-Attack,No_H-Attack
AL,Alabama,19.3,4.4,47.6,30.2,32.5,6.8,8.1,5.4,28.5,36.3,13.9,86.1,32.4,40.1,21.3,78.7,43.6,3.2,5.9,94.2
AK,Alaska,11.2,3,48.1,34.7,37.3,7,8.4,6,38.2,36.6,15,85,30.3,56.7,15.6,84.4,55.5,2.7,3.3,96.7
AZ,Arizona,18.2,5.7,46.8,33.4,31.7,6.9,8.6,5.2,29,34.2,14.4,85.6,30.4,51.7,18.7,81.3,44.2,3.1,4.4,95.6
AR,Arkansas,18.9,4.6,49.6,28.2,32.7,7.4,9.5,5.4,29.2,36,16.3,83.7,32.6,39.9,21.5,78.5,42.6,3.7,6.7,93.3
CA,California,16.4,5.5,46.2,36.8,28.8,9.5,11.1,8,25.4,31.9,14.8,85.2,29.9,53.6,13.3,86.7,45,4,3.5,96.5
CO,Colorado,12,4.4,50.3,31.6,27.8,11.2,14,8.7,25.4,30,12.8,87.2,29.5,61.2,17,83,51.6,2.4,3.1,96.9
CT,Connecticut,10.8,3.3,47.4,34.5,29.9,14.1,16,12.3,26.2,33.4,8.7,91.3,27.5,60.8,18.3,81.7,51.3,3.4,3.7,96.3
DE,Delaware,12.5,3.9,46.8,33.4,31,8.5,10.6,6.5,25.9,36,8.7,91.4,32.9,52.9,18.3,81.7,52.9,2.7,5,95
DC,District of Columbia,17.7,5.8,27.5,56.5,25.9,23.7,26.9,20.1,21.1,31.5,8.3,91.7,25.1,67.4,18.1,81.9,52.5,4.1,2.6,97.4
FL,Florida,16.5,6.1,45.8,31.6,30.2,8.2,10.4,6.1,27.2,33,17.6,82.4,31.2,54.4,16.2,83.8,40.5,3.5,5.3,94.7
