Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2014	AL	Alabama	Chronic Health Indicators	Arthritis	Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions)	Yes	Overall	Overall	"3,914"	34	32.7	35.3	896	%	Crude Prevalence			BRFSS	CLASS03	Topic05	1	BO1	CAT1	_DRDXAR1	RESP046	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Arthritis	Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions)	No	Overall	Overall	"4,693"	66	64.7	67.3	897	%	Crude Prevalence			BRFSS	CLASS03	Topic05	1	BO1	CAT1	_DRDXAR1	RESP054	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Asthma	Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions)	Yes	Overall	Overall	879	9.6	8.7	10.4	712	%	Crude Prevalence			BRFSS	CLASS03	Topic06	1	BO1	CAT1	_CASTHM1	RESP046	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Asthma	Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions)	No	Overall	Overall	"7,699"	90.5	89.6	91.3	713	%	Crude Prevalence			BRFSS	CLASS03	Topic06	1	BO1	CAT1	_CASTHM1	RESP054	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Asthma	Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions)	Yes	Overall	Overall	"1,263"	14.6	13.5	15.7	666	%	Crude Prevalence			BRFSS	CLASS03	Topic06	1	BO1	CAT1	_LTASTH1	RESP046	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Asthma	Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions)	No	Overall	Overall	"7,357"	85.4	84.3	86.5	667	%	Crude Prevalence			BRFSS	CLASS03	Topic06	1	BO1	CAT1	_LTASTH1	RESP054	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Cardiovascular Disease	Ever told you had angina or coronary heart disease?	Yes	Overall	Overall	678	5.6	5	6.1	574	%	Crude Prevalence			BRFSS	CLASS03	Topic10	1	BO1	CAT1	CVDCRHD4	RESP046	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Cardiovascular Disease	Ever told you had angina or coronary heart disease?	No	Overall	Overall	"7,848"	94.5	93.9	95	575	%	Crude Prevalence			BRFSS	CLASS03	Topic10	1	BO1	CAT1	CVDCRHD4	RESP054	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Cardiovascular Disease	Ever told you had a heart attack (myocardial infarction)?	Yes	Overall	Overall	644	5.9	5.2	6.5	528	%	Crude Prevalence			BRFSS	CLASS03	Topic10	1	BO1	CAT1	CVDINFR4	RESP046	"(32.84057112200048, -86.63186076199969)"
2014	AL	Alabama	Chronic Health Indicators	Cardiovascular Disease	Ever told you had a heart attack (myocardial infarction)?	No	Overall	Overall	"7,953"	94.2	93.5	94.8	529	%	Crude Prevalence			BRFSS	CLASS03	Topic10	1	BO1	CAT1	CVDINFR4	RESP054	"(32.84057112200048, -86.63186076199969)"
