Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,"1,063",17.4,16.1,18.7,"1,727",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP021,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,"2,756",31,29.6,32.4,"1,728",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP022,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,"2,470",31.2,29.8,32.6,"1,729",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP023,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,"2,327",20.4,19.4,21.5,"1,730",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,01,BO1,CAT1,EDUCA,RESP024,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,232,9.7,8.1,11.2,"1,722",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP021,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,"1,119",28.3,26.4,30.2,"1,723",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP022,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,"1,289",37.9,35.8,40,"1,724",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP023,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,"1,706",24.1,22.6,25.6,"1,725",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,02,BO1,CAT1,EDUCA,RESP024,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,"1,129",15.4,14.2,16.6,"1,730",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,04,BO1,CAT1,EDUCA,RESP021,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,"3,464",25.5,24.3,26.7,"1,731",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,04,BO1,CAT1,EDUCA,RESP022,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,"4,417",35.2,33.9,36.5,"1,732",%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,04,BO1,CAT1,EDUCA,RESP023,"(34.865970280000454, -111.76381127699972)"
