Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,Overall,Overall,"1,249",17.4,16.2,18.7,321,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,01,BO1,CAT1,MEDCOST,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,Overall,Overall,"7,380",82.6,81.3,83.8,322,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,01,BO1,CAT1,MEDCOST,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"7,825",86.1,84.9,87.3,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,01,BO1,CAT1,HLTHPLN1,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,806,13.9,12.7,15.1,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,01,BO1,CAT1,HLTHPLN1,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"6,265",77.1,75.9,78.3,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,01,BO1,CAT1,_RFHLTH,RESP061,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"2,359",22.9,21.8,24.1,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,01,BO1,CAT1,_RFHLTH,RESP062,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Excellent,Overall,Overall,"1,146",16.8,15.6,18.1,1,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP056,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Very good,Overall,Overall,"2,227",27.9,26.5,29.3,2,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP057,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Good,Overall,Overall,"2,892",32.4,31,33.8,3,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP058,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Fair,Overall,Overall,"1,578",15.7,14.6,16.7,4,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP059,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Poor,Overall,Overall,781,7.3,6.6,7.9,5,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,01,BO1,CAT1,GENHLTH,RESP060,"(32.84057112200048, -86.63186076199969)"
