Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,490",21.1,19.8,22.5,"2,702",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,01,BO1,CAT1,_RFSMOK3,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,Overall,Overall,"6,878",78.9,77.5,80.2,"2,703",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,01,BO1,CAT1,_RFSMOK3,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,"1,048",14.8,13.6,15.9,"2,748",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,01,BO1,CAT1,_SMOKER3,RESP068,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,Overall,Overall,442,6.4,5.5,7.2,"2,749",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,01,BO1,CAT1,_SMOKER3,RESP069,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,Overall,Overall,"2,271",24.6,23.3,25.8,"2,750",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,01,BO1,CAT1,_SMOKER3,RESP070,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,Overall,Overall,"4,607",54.3,52.8,55.9,"2,751",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,01,BO1,CAT1,_SMOKER3,RESP071,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,749,19.9,18.2,21.6,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,02,BO1,CAT1,_RFSMOK3,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,Overall,Overall,"3,477",80.1,78.4,81.8,"2,697",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,02,BO1,CAT1,_RFSMOK3,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,523,13.5,12,14.9,"2,742",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,02,BO1,CAT1,_SMOKER3,RESP068,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,Overall,Overall,226,6.4,5.3,7.5,"2,743",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,02,BO1,CAT1,_SMOKER3,RESP069,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,Overall,Overall,"1,247",25.7,23.9,27.5,"2,744",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,02,BO1,CAT1,_SMOKER3,RESP070,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,Overall,Overall,"2,230",54.4,52.3,56.6,"2,745",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,02,BO1,CAT1,_SMOKER3,RESP071,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,Overall,Overall,"12,191",83.5,82.4,84.6,"2,709",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,04,BO1,CAT1,_RFSMOK3,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,811",16.5,15.4,17.6,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,04,BO1,CAT1,_RFSMOK3,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,"1,266",11.1,10.1,12,"2,754",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,04,BO1,CAT1,_SMOKER3,RESP068,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,Overall,Overall,545,5.4,4.7,6.1,"2,755",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,04,BO1,CAT1,_SMOKER3,RESP069,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,Overall,Overall,"4,638",26.5,25.4,27.7,"2,756",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,04,BO1,CAT1,_SMOKER3,RESP070,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,Overall,Overall,"7,553",57,55.6,58.4,"2,757",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,04,BO1,CAT1,_SMOKER3,RESP071,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,Overall,Overall,"4,008",75.3,73.3,77.3,"2,701",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,05,BO1,CAT1,_RFSMOK3,RESP054,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,917,24.7,22.7,26.7,"2,700",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,05,BO1,CAT1,_RFSMOK3,RESP046,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,643,17.7,15.9,19.5,"2,746",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,05,BO1,CAT1,_SMOKER3,RESP068,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,Overall,Overall,274,7.1,5.9,8.3,"2,747",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,05,BO1,CAT1,_SMOKER3,RESP069,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,Overall,Overall,"1,489",25.2,23.5,27,"2,748",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,05,BO1,CAT1,_SMOKER3,RESP070,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,Overall,Overall,"2,519",50,47.8,52.2,"2,749",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,05,BO1,CAT1,_SMOKER3,RESP071,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,962,12.9,11.9,13.8,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,06,BO1,CAT1,_RFSMOK3,RESP046,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,Overall,Overall,"7,233",87.2,86.2,88.1,"2,709",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,06,BO1,CAT1,_RFSMOK3,RESP054,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,610,7.7,7,8.4,"2,754",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,06,BO1,CAT1,_SMOKER3,RESP068,"(37.63864012300047, -120.99999953799971)"
